PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14847309,WA,SR,100,100,0:00:00,80,100,0:00:00,85,85,0:00:00,100,100,0:00:00,15,15,0:00:00,89,100,40:18:06,57,70,0:00:00,9,10,0:00:00,38,47,0:00:00,78,85,556:32:58,1,10,0:00:00,84,100,0:00:00,67,75,0:00:00,24,25,0:00:00,86,100,212:23:22,50,50,0:00:00,0,10,0:00:00,89,100,0:00:00,77,87,0:00:00,1091:22:58,24,25,0:00:00,74,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14843625,FI,JR,77,100,0:00:00,100,100,0:00:00,76,85,0:00:00,93,100,0:00:00,13,15,0:00:00,100,100,0:00:00,68,70,0:00:00,7,10,0:00:00,44,47,0:00:00,81,85,418:50:02,10,10,0:00:00,82,100,0:00:00,72,75,0:00:00,25,25,0:00:00,96,100,0:00:00,50,50,0:00:00,3,10,0:00:00,91,100,0:00:00,86,87,0:00:00,945:46:04,22,25,0:00:00,67,75,0:00:00,73,75,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,418:50:02,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14883274,RE,JR,99,100,0:00:00,67,100,0:00:00,61,85,0:00:00,84,100,0:00:00,14,15,0:00:00,94,100,0:00:00,70,70,0:00:00,7,10,0:00:00,45,47,0:00:00,79,85,645:24:50,10,10,0:00:00,96,100,0:00:00,60,75,0:00:00,19,25,0:00:00,92,100,0:00:00,46,50,0:00:00,0,10,0:00:00,85,100,0:00:00,62,87,0:00:00,669:12:21,17,25,669:12:21,57,75,0:00:00,63,75,645:24:50,8,10,645:24:50,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,645:24:50,9,10,0:00:00,8,10,0:00:00,9,10,645:24:50,8,10,0:00:00,8,10,0:00:00
A14781873,TH,SR,96,100,0:00:00,67,100,0:00:00,75,85,0:00:00,94,100,0:00:00,7,15,0:00:00,90,100,47:53:45,52,70,0:00:00,8,10,0:00:00,47,47,0:00:00,73,85,0:00:00,10,10,0:00:00,83,100,0:00:00,51,75,0:00:00,20,25,0:00:00,82,100,0:00:00,43,50,0:00:00,0,10,0:00:00,94,100,0:00:00,75,87,0:00:00,246:35:39,23,25,0:00:00,70,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,246:35:39,10,10,0:00:00,10,10,246:35:39,10,10,0:00:00,10,10,47:53:45,10,10,0:00:00,10,10,0:00:00
A14735005,WA,JR,87,100,0:00:00,96,100,0:00:00,85,85,0:00:00,100,100,0:00:00,11,15,0:00:00,100,100,0:00:00,70,70,270:22:55,4,10,0:00:00,40,47,0:00:00,80,85,0:00:00,10,10,0:00:00,86,100,0:00:00,73,75,0:00:00,25,25,0:00:00,97,100,182:37:20,48,50,0:00:00,0,10,0:00:00,97,100,0:00:00,78,87,0:00:00,453:00:15,25,25,0:00:00,75,75,0:00:00,75,75,270:22:55,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,270:22:55,10,10,0:00:00,10,10,182:37:20
A14881757,WA,SR,79,100,0:00:00,79,100,0:00:00,57,85,0:00:00,85,100,0:00:00,13,15,0:00:00,81,100,0:00:00,31,70,0:00:00,,10,0:00:00,34,47,0:00:00,0,85,0:00:00,10,10,0:00:00,,100,0:00:00,50,75,0:00:00,17,25,0:00:00,45,100,0:00:00,32,50,0:00:00,,10,0:00:00,,100,0:00:00,67,87,0:00:00,0:00:00,15,25,0:00:00,54,75,0:00:00,60,75,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,7,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00
A14235397,SI,SR,80,100,0:00:00,92,100,0:00:00,78,85,0:00:00,98,100,0:00:00,15,15,0:00:00,86,100,0:00:00,70,70,341:01:51,10,10,0:00:00,40,47,0:00:00,78,85,431:31:19,10,10,0:00:00,95,100,0:00:00,72,75,0:00:00,18,25,0:00:00,96,100,0:00:00,48,50,0:00:00,3,10,0:00:00,92,100,0:00:00,84,87,0:00:00,794:42:09,23,25,0:00:00,75,75,0:00:00,75,75,431:31:19,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14313679,WA,SR,68,100,0:00:00,90,100,0:00:00,68,85,0:00:00,80,100,268:26:07,15,15,0:00:00,95,100,0:00:00,67,70,0:00:00,9,10,0:00:00,47,47,0:00:00,73,85,0:00:00,10,10,0:00:00,83,100,434:14:10,66,75,0:00:00,21,25,0:00:00,90,100,0:00:00,40,50,0:00:00,5,10,0:00:00,100,100,0:00:00,68,87,0:00:00,702:40:17,17,25,0:00:00,64,75,0:00:00,70,75,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,434:14:10,9,10,0:00:00
A14806839,WA,SO,98,100,96:09:33,89,100,0:00:00,74,85,0:00:00,83,100,0:00:00,8,15,0:00:00,88,100,0:00:00,55,70,0:00:00,7,10,0:00:00,30,47,0:00:00,81,85,0:00:00,2,10,0:00:00,66,100,0:00:00,61,75,0:00:00,14,25,0:00:00,44,100,0:00:00,42,50,0:00:00,7,10,0:00:00,84,100,0:00:00,63,87,0:00:00,96:09:33,22,25,0:00:00,71,75,0:00:00,75,75,0:00:00,10,10,96:09:33,9,10,96:09:33,10,10,96:09:33,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14313679,FI,SR,68,100,0:00:00,93,100,0:00:00,61,85,0:00:00,74,100,268:26:07,15,15,0:00:00,98,100,0:00:00,67,70,0:00:00,9,10,0:00:00,41,47,0:00:00,79,85,0:00:00,10,10,0:00:00,85,100,434:14:10,71,75,0:00:00,25,25,0:00:00,94,100,0:00:00,45,50,0:00:00,0,10,0:00:00,94,100,0:00:00,73,87,0:00:00,702:40:17,18,25,0:00:00,56,75,0:00:00,62,75,0:00:00,9,10,0:00:00,8,10,702:40:17,8,10,702:40:17,9,10,434:14:10,8,10,268:26:07,8,10,268:26:07,8,10,0:00:00,8,10,702:40:17,8,10,0:00:00,8,10,702:40:17
A14327063,FI,SR,80,100,0:00:00,52,100,0:00:00,66,85,0:00:00,92,100,0:00:00,15,15,0:00:00,,100,0:00:00,29,70,0:00:00,,10,0:00:00,47,47,0:00:00,85,85,0:00:00,,10,0:00:00,89,100,0:00:00,75,75,0:00:00,24,25,0:00:00,68,100,453:54:49,29,50,0:00:00,,10,0:00:00,83,100,0:00:00,68,87,0:00:00,644:57:10,18,25,0:00:00,62,75,0:00:00,68,75,0:00:00,9,10,644:57:10,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14755997,WA,JR,88,100,0:00:00,,100,0:00:00,85,85,0:00:00,75,100,267:15:40,3,15,0:00:00,85,100,38:23:00,62,70,0:00:00,8,10,0:00:00,40,47,0:00:00,85,85,504:45:26,9,10,0:00:00,95,100,0:00:00,67,75,0:00:00,24,25,0:00:00,91,100,0:00:00,44,50,0:00:00,0,10,0:00:00,89,100,0:00:00,78,87,0:00:00,810:24:06,25,25,267:15:40,75,75,0:00:00,75,75,38:23:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14548091,SI,SR,86,100,0:00:00,78,100,1089:33:59,73,85,0:00:00,60,100,0:00:14,13,15,0:00:00,82,100,47:17:58,43,70,0:00:00,9,10,0:00:00,37,47,0:00:00,79,85,0:00:00,8,10,0:00:00,100,100,0:00:00,51,75,0:00:00,25,25,0:00:00,72,100,0:00:00,40,50,0:00:00,3,10,0:00:00,97,100,0:00:00,67,87,0:00:00,1335:35:29,20,25,0:00:00,68,75,0:00:00,74,75,0:00:00,10,10,47:17:58,10,10,47:17:58,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,47:17:58,9,10,0:00:00,10,10,47:17:58,10,10,0:00:00,10,10,0:00:00
A14472397,SI,JR,97,100,0:00:00,89,100,0:00:00,72,85,0:00:00,90,100,0:00:00,0,15,0:00:00,66,100,48:00:29,70,70,0:00:00,4,10,0:00:00,19,47,0:00:00,67,85,0:00:00,5,10,0:00:00,70,100,0:00:00,68,75,0:00:00,17,25,0:00:00,78,100,0:00:00,29,50,0:00:00,0,10,0:00:00,72,100,0:00:00,62,87,0:00:00,48:00:29,21,25,0:00:00,67,75,0:00:00,73,75,48:00:29,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,10,10,48:00:29,10,10,0:00:00,10,10,0:00:00
A14169808,FI,JR,86,100,0:00:00,57,100,0:00:00,66,85,0:00:00,89,100,0:00:00,15,15,0:00:00,96,100,42:36:43,,70,0:00:00,,10,0:00:00,43,47,0:00:00,82,85,0:00:00,,10,0:00:00,92,100,0:00:00,73,75,0:00:00,25,25,0:00:00,54,100,0:00:00,39,50,0:00:00,0,10,0:00:00,84,100,0:00:00,70,87,0:00:00,63:51:33,18,25,0:00:00,60,75,0:00:00,66,75,0:00:00,9,10,0:00:00,10,10,42:36:43,9,10,42:36:43,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14301194,FI,SO,89,100,0:00:00,86,100,0:00:00,65,85,0:00:00,100,100,0:00:00,10,15,0:00:00,89,100,44:52:26,54,70,0:00:00,1,10,0:00:00,44,47,0:00:00,55,85,460:00:56,8,10,0:00:00,84,100,0:00:00,68,75,0:00:00,25,25,0:00:00,71,100,0:00:00,32,50,0:00:00,0,10,0:00:00,90,100,0:00:00,66,87,0:00:00,504:53:22,18,25,44:52:26,60,75,44:52:26,66,75,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,44:52:26,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,44:52:26,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14368776,SI,JR,99,100,0:00:00,80,100,0:00:00,61,85,0:00:00,83,100,0:00:00,8,15,0:00:00,87,100,44:40:07,64,70,0:00:00,10,10,0:00:00,47,47,0:00:00,35,85,0:00:00,9,10,0:00:00,91,100,0:00:00,62,75,0:00:00,17,25,0:00:00,80,100,0:00:00,28,50,0:00:00,0,10,0:00:00,96,100,0:00:00,79,87,0:00:00,373:14:01,18,25,0:00:00,62,75,0:00:00,68,75,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00,8,10,0:00:00,9,10,0:00:00,8,10,0:00:00
A14874081,FI,JR,82,100,0:00:00,78,100,0:00:00,47,85,0:00:00,89,100,0:00:00,14,15,0:00:00,33,100,35:24:07,66,70,0:00:00,8,10,0:00:00,36,47,0:00:00,68,85,0:00:00,,10,0:00:00,85,100,0:00:00,74,75,0:00:00,25,25,0:00:00,95,100,0:00:00,38,50,0:00:00,0,10,0:00:00,63,100,0:00:00,72,87,0:00:00,35:24:07,13,25,35:24:07,49,75,35:24:07,55,75,0:00:00,7,10,35:24:07,7,10,0:00:00,7,10,35:24:07,7,10,0:00:00,7,10,0:00:00,6,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00
A14366857,FI,SR,85,100,0:00:00,95,100,0:00:00,76,85,0:00:00,89,100,0:00:00,13,15,0:00:00,76,100,0:00:00,,70,0:00:00,,10,0:00:00,29,47,0:00:00,57,85,0:00:00,,10,0:00:00,81,100,0:00:00,72,75,0:00:00,,25,0:00:00,32,100,0:00:00,50,50,0:00:00,,10,0:00:00,83,100,0:00:00,60,87,0:00:00,0:00:00,22,25,0:00:00,74,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14366857,TH,SR,95,100,0:00:00,100,100,0:00:00,85,85,0:00:00,83,100,0:00:00,10,15,0:00:00,71,100,0:00:00,,70,0:00:00,,10,0:00:00,27,47,0:00:00,62,85,0:00:00,,10,0:00:00,85,100,0:00:00,73,75,0:00:00,,25,0:00:00,12,100,0:00:00,50,50,0:00:00,,10,0:00:00,84,100,0:00:00,64,87,0:00:00,0:00:00,25,25,0:00:00,75,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14353945,RE,JR,96,100,0:00:00,95,100,0:00:00,80,85,0:00:00,90,100,0:00:00,14,15,0:00:00,98,100,47:53:28,69,70,0:00:00,10,10,0:00:00,47,47,0:00:00,85,85,442:00:09,10,10,0:00:00,82,100,0:00:00,75,75,0:00:00,24,25,0:00:00,38,100,0:00:00,38,50,0:00:00,6,10,0:00:00,78,100,0:00:00,77,87,0:00:00,489:53:37,23,25,0:00:00,74,75,47:53:28,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,489:53:37,10,10,0:00:00,10,10,47:53:28,10,10,0:00:00,10,10,0:00:00
A14407221,SI,JR,73,100,55:41:56,87,100,0:00:00,70,85,0:00:00,100,100,0:00:00,12,15,0:00:00,84,100,0:00:00,57,70,0:00:00,9,10,0:00:00,47,47,0:00:00,77,85,557:54:22,10,10,0:00:00,80,100,0:00:00,64,75,0:00:00,20,25,0:00:00,,100,0:00:00,50,50,0:00:00,2,10,0:00:00,77,100,0:00:00,76,87,0:00:00,613:36:18,21,25,0:00:00,68,75,0:00:00,74,75,613:36:18,10,10,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00
A14262674,TH,JR,100,100,50:09:44,92,100,0:00:00,85,85,0:00:00,89,100,0:00:00,15,15,0:00:00,96,100,0:00:00,70,70,0:00:00,6,10,0:00:00,47,47,0:00:00,85,85,441:39:51,10,10,0:00:00,93,100,0:00:00,75,75,0:00:00,25,25,0:00:00,89,100,0:00:00,46,50,0:00:00,0,10,0:00:00,85,100,0:00:00,75,87,0:00:00,491:49:35,25,25,0:00:00,72,75,0:00:00,75,75,491:49:35,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,491:49:35,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,491:49:35
